[iss-realsecure] tourdefrance.unibet.com:902
[iua] tourdefrance.unibet.com:9900
[java-or-OTGfileshare] tourdefrance.unibet.com:1050
[jetdirect] tourdefrance.unibet.com:9100
[jetdirect] tourdefrance.unibet.com:9101
[jetdirect] tourdefrance.unibet.com:9102
[jetdirect] tourdefrance.unibet.com:9103
[jetstream] tourdefrance.unibet.com:6901
[jstel] tourdefrance.unibet.com:1064
[jtag-server] tourdefrance.unibet.com:1309
[jtnetd-server] tourdefrance.unibet.com:5033
[kca-service] tourdefrance.unibet.com:9878
[kdm] tourdefrance.unibet.com:1024
[kerberos-adm] tourdefrance.unibet.com:749
[kerberos-sec] tourdefrance.unibet.com:88
[keyshadow] tourdefrance.unibet.com:19315
[keysrvr] tourdefrance.unibet.com:19283
[kiosk] tourdefrance.unibet.com:1061
[klogin] tourdefrance.unibet.com:543
[kpasswd5] tourdefrance.unibet.com:464
[krb524] tourdefrance.unibet.com:4444
[kshell] tourdefrance.unibet.com:544
[kvm-via-ip] tourdefrance.unibet.com:1132
[kx] tourdefrance.unibet.com:2111
[kyoceranetdev] tourdefrance.unibet.com:1063
[lam] tourdefrance.unibet.com:2040
[landesk-cba] tourdefrance.unibet.com:38292
[landesk-rc] tourdefrance.unibet.com:1761
[lanrevserver] tourdefrance.unibet.com:3971
[ldapssl] tourdefrance.unibet.com:636
[ldap] tourdefrance.unibet.com:389
[ldp] tourdefrance.unibet.com:646
[lgtomapper] tourdefrance.unibet.com:7938
[listcrt-port-2] tourdefrance.unibet.com:3914
[llsurfup-http] tourdefrance.unibet.com:1183
[lmsocialserver] tourdefrance.unibet.com:1111
[lockd] tourdefrance.unibet.com:4045
[locus-map] tourdefrance.unibet.com:125
[login] tourdefrance.unibet.com:513
[lotusmtap] tourdefrance.unibet.com:3007
[lotusnotes] tourdefrance.unibet.com:1352
[LSA-or-nterm] tourdefrance.unibet.com:1026
[ltp-deepspace] tourdefrance.unibet.com:1113
[lv-ffx] tourdefrance.unibet.com:2144
[m2mservices] tourdefrance.unibet.com:8383
[mailbox] tourdefrance.unibet.com:2004
[man] tourdefrance.unibet.com:9535
[mapper-ws_ethd] tourdefrance.unibet.com:3986
[maybe-veritas] tourdefrance.unibet.com:4998
[mcer-port] tourdefrance.unibet.com:6510
[mctp] tourdefrance.unibet.com:1100
[mdbs_daemon] tourdefrance.unibet.com:800
[mecomm] tourdefrance.unibet.com:668
[metagram] tourdefrance.unibet.com:99
[microsoft-ds] tourdefrance.unibet.com:445
[mini-sql] tourdefrance.unibet.com:1114
[mit-ml-dev] tourdefrance.unibet.com:83
[mit-ml-dev] tourdefrance.unibet.com:85
