[https] launcherwaitingroom-public-service-prod.ak.epicgames.com:443
[https] launcher-website-prod07.ol.epicgames.com:443
[https] launcher-website-prod.ak.epicgames.com:443
[https] library-service.beee.live.use1a.on.epicgames.com:443
[https] library-service.live.use1a.on.epicgames.com:443
[https] licensee-mgmt-portal-okta.eut.it.epicgames.com:443
[https] licensee-mgmt-portal-okta.it-entapps-dev.epicgames.com:443
[https] licensee-mgmt-portal-okta.it.epicgames.com:443
[https] licensee-mgmt-portal-okta.stage.it.epicgames.com:443
[https] lightswitch-public-service-prod06.ol.epicgames.com:443
[https] lightswitch-public-service-prod.ak.epicgames.com:443
[https] lightswitch-public-service-prod-m.ol.epicgames.com:443
[https] lightswitch-public-service-prod.ol.epicgames.com:443
[https] link.epicgames.com:443
[https] links-public-service-live.ol.epicgames.com:443
[https] links-public-service-prod.ol.epicgames.com:443
[https] links-public-service-stage.ol.epicgames.com:443
[https] lyncdiscover.epicgames.com:443
[https] mail.epicgames.com:443
[https] maintenance.epicgames.com:443
[https] marketplace-website-node-launcher-prod.ol.epicgames.com:443
[https] mars-apigw.it-entapps-dev.epicgames.com:443
[https] mars-apigw.stage.it.epicgames.com:443
